assignedRegion,blockJurisdiction,contactNumber,createdAt,departmentId,designation,email,fieldArea,gramSabhaArea,isActive,jurisdiction,level,name,officeAddress,panchayatArea,panchayatDetails,panchayatOfficers,panchayatWorkers,parentId,role,specialization,updatedAt,villageCount,wardNumber
Kanpur,,0512-XXX-XXXX,,,Department Head,,,,True,Municipal Corporation,MID,Shri Rajesh Sharma,"Office Address, Kanpur",,,,,auth_003,DEPARTMENT_HEAD,,,,
Varanasi,,0542-XXX-XXXX,,,Department Head,,,,True,Public Works Department,MID,Shri S. K. Verma,"Office Address, Varanasi",,,,,auth_004,DEPARTMENT_HEAD,,,,
Prayagraj,,0532-XXX-XXXX,,,Department Head,,,,True,State Transport Department,MID,Shri Rakesh Yadav,"Office Address, Prayagraj",,,,,auth_005,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Health Department,MID,Dr. Sanjay Gupta,"Office Address, Lucknow",,,,,auth_006,DEPARTMENT_HEAD,,,,
Meerut,,0121-XXX-XXXX,,,Department Head,,,,True,Police Department,MID,Shri Anil Kumar,"Office Address, Meerut",,,,,auth_007,DEPARTMENT_HEAD,,,,
Agra,,0562-XXX-XXXX,,,Department Head,,,,True,Education Department,MID,Shri Mohit Singh,"Office Address, Agra",,,,,auth_008,DEPARTMENT_HEAD,,,,
Noida,,0120-XXX-XXXX,,,Department Head,,,,True,Water Supply Department,MID,Shri Deepak Tiwari,"Office Address, Noida",,,,,auth_009,DEPARTMENT_HEAD,,,,
Ghaziabad,,0120-XXX-XXXX,,,Department Head,,,,True,Electricity Department,MID,Shri Alok Verma,"Office Address, Ghaziabad",,,,,auth_010,DEPARTMENT_HEAD,,,,
Bareilly,,0581-XXX-XXXX,,,Department Head,,,,True,Sanitation Department,MID,Shri Pankaj Kumar,"Office Address, Bareilly",,,,,auth_011,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,UP Police Department,MID,Shri Yashwant Chauhan,"Office Address, Lucknow",,,,,auth_012,DEPARTMENT_HEAD,,,,
Kanpur,,0512-XXX-XXXX,,,Department Head,,,,True,Transport Department,MID,Shri Vinod Sharma,"Office Address, Kanpur",,,,,auth_013,DEPARTMENT_HEAD,,,,
Varanasi,,0542-XXX-XXXX,,,Department Head,,,,True,Traffic Police Department,MID,Shri Suresh Pandey,"Office Address, Varanasi",,,,,auth_014,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Anti-Corruption Bureau,MID,Shri Om Prakash,"Office Address, Lucknow",,,,,auth_015,DEPARTMENT_HEAD,,,,
Noida,,0120-XXX-XXXX,,,Department Head,,,,True,Urban Development Department,MID,Shri Uday Pratap,"Office Address, Noida",,,,,auth_016,DEPARTMENT_HEAD,,,,
Ghaziabad,,0120-XXX-XXXX,,,Department Head,,,,True,Water Quality Department,MID,Shri Rajiv Saxena,"Office Address, Ghaziabad",,,,,auth_017,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,UP जल निगम,MID,श्री वी. के. सिंह,"Office Address, Lucknow",,,,,auth_018,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,UP पावर कॉरपोरेशन लिमिटेड,MID,डॉ. अरविंद कुमार,"Office Address, Lucknow",,,,,auth_019,DEPARTMENT_HEAD,,,,
Kanpur,,0512-XXX-XXXX,,,Department Head,,,,True,नगर निगम,MID,श्री राजेश शर्मा,"Office Address, Kanpur",,,,,auth_020,DEPARTMENT_HEAD,,,,
Varanasi,,0542-XXX-XXXX,,,Department Head,,,,True,लोक निर्माण विभाग,MID,श्री एस. के. वर्मा,"Office Address, Varanasi",,,,,auth_021,DEPARTMENT_HEAD,,,,
Prayagraj,,0532-XXX-XXXX,,,Department Head,,,,True,परिवहन विभाग,MID,श्री राकेश यादव,"Office Address, Prayagraj",,,,,auth_022,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,स्वास्थ्य विभाग,MID,Dr. Anil Kumar,"Office Address, Lucknow",,,,,auth_023,DEPARTMENT_HEAD,,,,
Meerut,,0121-XXX-XXXX,,,Department Head,,,,True,पुलिस विभाग,MID,Shri Rajeev Mishra,"Office Address, Meerut",,,,,auth_024,DEPARTMENT_HEAD,,,,
Agra,,0562-XXX-XXXX,,,Department Head,,,,True,शिक्षा विभाग,MID,Shri Pawan Tiwari,"Office Address, Agra",,,,,auth_025,DEPARTMENT_HEAD,,,,
Kanpur,,0512-XXX-XXXX,,,Department Head,,,,True,Employment Department,MID,Shri Manoj Sharma,"Office Address, Kanpur",,,,,auth_026,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Consumer Affairs Department,MID,Shri Dinesh Gupta,"Office Address, Lucknow",,,,,auth_027,DEPARTMENT_HEAD,,,,
Prayagraj,,0532-XXX-XXXX,,,Department Head,,,,True,Food and Civil Supplies Department,MID,Shri Arun Verma,"Office Address, Prayagraj",,,,,auth_028,DEPARTMENT_HEAD,,,,
Noida,,0120-XXX-XXXX,,,Department Head,,,,True,Energy Department,MID,Shri Sandeep Yadav,"Office Address, Noida",,,,,auth_029,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Finance Department,MID,Shri Vikas Chauhan,"Office Address, Lucknow",,,,,auth_030,DEPARTMENT_HEAD,,,,
Varanasi,,0542-XXX-XXXX,,,Department Head,,,,True,Traffic Department,MID,Shri Surendra Pathak,"Office Address, Varanasi",,,,,auth_031,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Flood Control Department,MID,Shri Nirmal Tiwari,"Office Address, Lucknow",,,,,auth_032,DEPARTMENT_HEAD,,,,
Kanpur,,0512-XXX-XXXX,,,Department Head,,,,True,Road Safety Department,MID,Shri Uday Pratap,"Office Address, Kanpur",,,,,auth_033,DEPARTMENT_HEAD,,,,
Agra,,0562-XXX-XXXX,,,Department Head,,,,True,Anti-Corruption Department,MID,Shri Anil Bansal,"Office Address, Agra",,,,,auth_034,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Street Lighting Department,MID,Shri Yogesh Kumar,"Office Address, Lucknow",,,,,auth_035,DEPARTMENT_HEAD,,,,
Noida,,0120-XXX-XXXX,,,Department Head,,,,True,Environment Department,MID,Shri Prakash Yadav,"Office Address, Noida",,,,,auth_036,DEPARTMENT_HEAD,,,,
Varanasi,,0542-XXX-XXXX,,,Department Head,,,,True,Encroachment Control Department,MID,Shri Amit Sharma,"Office Address, Varanasi",,,,,auth_037,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Internet Services Department,MID,Shri Subhash Gupta,"Office Address, Lucknow",,,,,auth_038,DEPARTMENT_HEAD,,,,
Kanpur,,0512-XXX-XXXX,,,Department Head,,,,True,Parks and Recreation Department,MID,Shri Ajay Pandey,"Office Address, Kanpur",,,,,auth_039,DEPARTMENT_HEAD,,,,
Agra,,0562-XXX-XXXX,,,Department Head,,,,True,Price Control Department,MID,Shri Arvind Tiwari,"Office Address, Agra",,,,,auth_040,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Agriculture Department,MID,Shri Dharmendra Singh,"Office Address, Lucknow",,,,,auth_041,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,जल विभाग,MID,श्री रवि कुमार,"Office Address, Lucknow",,,,,auth_042,DEPARTMENT_HEAD,,,,
Kanpur,,0512-XXX-XXXX,,,Department Head,,,,True,नगर विकास विभाग,MID,श्री अमित शुक्ला,"Office Address, Kanpur",,,,,auth_043,DEPARTMENT_HEAD,,,,
Varanasi,,0542-XXX-XXXX,,,Department Head,,,,True,यातायात विभाग,MID,श्री दीपक यादव,"Office Address, Varanasi",,,,,auth_044,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,बिजली विभाग,MID,श्री सुरेश वर्मा,"Office Address, Lucknow",,,,,auth_045,DEPARTMENT_HEAD,,,,
Noida,,0120-XXX-XXXX,,,Department Head,,,,True,पर्यावरण विभाग,MID,श्री नीरज कुमार,"Office Address, Noida",,,,,auth_046,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,प्रशासन विभाग,MID,श्री संजय मिश्रा,"Office Address, Lucknow",,,,,auth_047,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,UP Power Corporation,MID,Shri Vikram Singh,"Office Address, Lucknow",,,,,auth_048,DEPARTMENT_HEAD,,,,
Kanpur,,0512-XXX-XXXX,,,Department Head,,,,True,Public Services Department,MID,Shri Sandeep Chauhan,"Office Address, Kanpur",,,,,auth_049,DEPARTMENT_HEAD,,,,
Varanasi,,0542-XXX-XXXX,,,Department Head,,,,True,Disaster Management Department,MID,Shri Rahul Yadav,"Office Address, Varanasi",,,,,auth_050,DEPARTMENT_HEAD,,,,
Lucknow,,0522-XXX-XXXX,,,Department Head,,,,True,Pollution Control Department,MID,Shri Ashish Sharma,"Office Address, Lucknow",,,,,auth_051,DEPARTMENT_HEAD,,,,
