gpscoordinates_longitude,email,complaint_type,location,CreatedAt,title,citizenName,category,economicImpact,environmentalImpact,emotion,lastUpdatedDate,ResolutionTime,tehsil,id,complaintType,socialImpact,pincode,status,district,date,submissionDate,complaint,contactNumber,updatedAt,relatedPolicies,subcategory,urgencyLevel,ward,gpscoordinates_latitude,isAnonymous,estimated,departmentAssigned
83.0,example1123@gmail.com,,"Bijnor, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1123,Rakesh Tiwari,Utilities,Increased electricity costs,Increased generator usage causing pollution,Exhaustion,2025-02-05,1,N/A,1123,Electricity,Disruption of daily activities,221004,Open,D L W Varanasi,,2025-02-05,"बिजली का भार बढ़ने के बाद भी सप्लाई उतनी ही रहती है, जिससे दिनभर परेशानियों का सामना करना पड़ता है।",7740858113,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,25.3333,True,42,Electricity Department
80.2667,example1124@gmail.com,,"Muzaffarnagar, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1124,Vijay Kumar,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Irritation,2025-02-05,5,N/A,1124,Roads,Increased accidents and injuries,208013,In Progress,C O D Kanpur,,2025-02-05,सड़कों पर गड्ढे इतने बड़े हो गए हैं कि गाड़ी चलाना मुश्किल हो गया है। कोई भी काम नहीं हो रहा है।,7321066852,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,26.4833,True,50,Public Works Department
80.8285,example1125@gmail.com,,"Jhansi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1125,Anita Singh,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Annoyance,2025-02-05,26,N/A,1125,Public Transport,Inconvenience for daily commuters,229130,Closed,Chaubara,,2025-02-05,"बसें बहुत ही कम संख्या में चलती हैं, और कभी-कभी तो घंटों इंतजार करने के बाद भी कोई बस नहीं आती।",6736000190,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,26.5258,True,33,Transport Department
80.6833,example1126@gmail.com,,"Mathura, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1126,Pooja Sharma,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Annoyance,2025-02-05,24,N/A,1126,Public Transport,Inconvenience for daily commuters,261506,Closed,Mahewganj,,2025-02-05,"बसें बहुत कम आती हैं, और उन पर भारी भीड़ होती है। यात्रा करना बहुत मुश्किल हो गया है।",8664491983,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,27.6917,False,25,Transport Department
82.9833,example1127@gmail.com,,"Aligarh, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1127,Amit Verma,Healthcare,Increased medical expenses,None,Frustration,2025-02-05,15,N/A,1127,Health Services,Poor health outcomes,272172,In Progress,Mahuli,,2025-02-05,सरकारी अस्पतालों में इलाज की सुविधाएं बिल्कुल भी ठीक नहीं हैं। मरीजों को बिना इलाज के ही वापस भेज दिया जाता है।,7558939383,2025-02-05 01:41:04,UP Health Services Act 2015,Public Health,High,N/A,26.6333,False,56,Health Department
80.3083,example1128@gmail.com,,"Muzaffarnagar, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1128,Rohit Gupta,Law Enforcement,Loss of business due to crime,None,Anger,2025-02-05,11,N/A,1128,Police & Law,Increased fear and insecurity among residents,208004,In Progress,Napler Road,,2025-02-05,पुलिस कार्यवाही में बहुत ही सुस्ती दिखाती है। अपराधियों के खिलाफ कोई कड़ी कार्रवाई नहीं होती।,6173042289,2025-02-05 01:41:04,UP Police Act 2018,Crime Control,High,N/A,26.475,True,38,Police Department
77.85,example1129@gmail.com,,"Jhansi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1129,Neha Singh,Education,Increased private tuition costs,None,Concern,2025-02-05,12,N/A,1129,Education,Poor educational outcomes,283119,Open,Kagarol,,2025-02-05,स्कूलों में पढ़ाई का स्तर बहुत ही कम है। शिक्षक भी अपनी जिम्मेदारी से बचते हैं।,7856570940,2025-02-05 01:41:04,UP Education Act 2014,School Curriculum,High,N/A,27.0167,False,69,Education Department
79.625,example1130@gmail.com,,"Mathura, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1130,Rajesh Kumar,Utilities,Additional water procurement costs,Water wastage and contamination,Frustration,2025-02-05,30,N/A,1130,Water Supply,Disruption of daily life and hygiene,242228,Open,Kamal Mainpur,,2025-02-05,पानी की सप्लाई में गंदगी आती है। हम पानी पीने से पहले उसे छानने को मजबूर हैं।,8623039844,2025-02-05 01:41:04,UP Water Supply Act 2019,Water Distribution,High,N/A,27.7583,True,27,Water Supply Department
82.4525,example1131@gmail.com,,"Lucknow, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1131,Ravi Verma,Utilities,Increased electricity costs,Increased generator usage causing pollution,Exhaustion,2025-02-05,2,N/A,1131,Electricity,Disruption of daily activities,233311,Open,N S Sugar Mills,,2025-02-05,"लगातार बिजली की कटौती हो रही है, खासकर गर्मियों में। इससे घर में बहुत परेशानी होती है।",6788368965,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,25.5168,False,63,Electricity Department
82.8622,example1132@gmail.com,,"Varanasi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1132,Sunil Sharma,Sanitation,Increased healthcare costs,Pollution and pest infestation,Disgust,2025-02-05,7,N/A,1132,Garbage,Health hazards and unhygienic conditions,272152,Open,Daldala,,2025-02-05,कूड़ा सड़क पर पड़ा रहता है और सफाई कर्मचारी उसे उठाने के लिए कोई प्रयास नहीं करते।,8289974222,2025-02-05 01:41:04,UP Sanitation Act 2018,Garbage Collection,High,N/A,26.8648,False,72,Sanitation Department
76.2541,example1133@gmail.com,,"Meerut, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1133,Ramesh Tiwari,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Anger,2025-02-05,6,N/A,1133,Roads,Increased accidents and injuries,121002,Closed,Faridabad,,2025-02-05,"सड़कों पर गड्ढे हो गए हैं, जिससे यातायात बहुत प्रभावित हो रहा है। अधिकारियों को इस पर ध्यान देना चाहिए।",9508480423,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,28.9915,True,83,Public Works Department
77.55,example1134@gmail.com,,"Kanpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1134,Anita Singh,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Frustration,2025-02-05,6,N/A,1134,Public Transport,Inconvenience for daily commuters,247001,In Progress,Saharanpur,,2025-02-05,"सार्वजनिक परिवहन की सेवाएं बहुत ही कम हैं, और जो बसें चलती हैं, उनका समय पर आना असंभव हो जाता है।",7880375141,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,29.9667,False,44,Transport Department
82.9833,example1135@gmail.com,,"Agra, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1135,Rohit Sharma,Healthcare,Increased medical expenses,None,Helplessness,2025-02-05,5,N/A,1135,Health Services,Poor health outcomes,276208,In Progress,Deogaon,,2025-02-05,अस्पतालों में बहुत भीड़ रहती है। इलाज में समय लगता है और डॉक्टर भी जल्दी से नहीं आते।,6343507715,2025-02-05 01:41:04,UP Health Services Act 2015,Public Health,High,N/A,25.75,False,85,Health Department
82.05,example1136@gmail.com,,"Bareilly, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1136,Priya Verma,Law Enforcement,Loss of business due to crime,None,Frustration,2025-02-05,25,N/A,1136,Police & Law,Increased fear and insecurity among residents,271124,Closed,Wazirganj (Gonda),,2025-02-05,पुलिस शिकायतों को गंभीरता से नहीं लेती। कई बार तो शिकायत दर्ज कराने के बाद भी कोई कार्रवाई नहीं होती।,6324558236,2025-02-05 01:41:04,UP Police Act 2018,Crime Control,High,N/A,27.375,True,52,Police Department
83.0167,example1137@gmail.com,,"Saharanpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1137,Amit Kumar,Education,Increased private tuition costs,None,Concern,2025-02-05,28,N/A,1137,Education,Poor educational outcomes,231305,Open,Narainpur,,2025-02-05,स्कूलों में बच्चों को बुनियादी शिक्षा भी नहीं दी जा रही है। शिक्षक की कमी भी है।,6247913361,2025-02-05 01:41:04,UP Education Act 2014,School Curriculum,High,N/A,25.0167,False,90,Education Department
78.0167,example1138@gmail.com,,"Bijnor, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1138,Ravi Sharma,Utilities,Additional water procurement costs,Water wastage and contamination,Disappointment,2025-02-05,24,N/A,1138,Water Supply,Disruption of daily life and hygiene,282001,Open,Agra,,2025-02-05,पानी की सप्लाई घंटों तक नहीं आती है। फिर पानी में गंदगी भी मिल जाती है।,7417756652,2025-02-05 01:41:04,UP Water Supply Act 2019,Water Distribution,High,N/A,27.1833,False,17,Water Supply Department
81.7333,example1139@gmail.com,,"Jhansi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1139,Neha Joshi,Utilities,Increased electricity costs,Increased generator usage causing pollution,Exhaustion,2025-02-05,19,N/A,1139,Electricity,Disruption of daily activities,271824,In Progress,Mahsi,,2025-02-05,बिजली की सप्लाई बहुत खराब है। घर में इलेक्ट्रॉनिक उपकरण भी बिना बिजली के काम नहीं कर पाते।,9201081839,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,27.7083,False,4,Electricity Department
77.9333,example1140@gmail.com,,"Kanpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1140,Rajesh Kumar,Sanitation,Increased healthcare costs,Pollution and pest infestation,Disgust,2025-02-05,13,N/A,1140,Garbage,Health hazards and unhygienic conditions,202124,Closed,Iglas,,2025-02-05,कूड़ा हमेशा सड़कों पर पड़ा रहता है। सफाई कर्मचारियों को इस पर तुरंत ध्यान देना चाहिए।,6293784907,2025-02-05 01:41:04,UP Sanitation Act 2018,Garbage Collection,High,N/A,27.7167,True,61,Sanitation Department
82.1167,example1141@gmail.com,,"Agra, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1141,Suresh Yadav,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Irritation,2025-02-05,2,N/A,1141,Roads,Increased accidents and injuries,230001,In Progress,Macandrewganj,,2025-02-05,सड़कों की स्थिति बहुत खराब हो गई है। गड्ढे भरने का काम कभी नहीं होता है।,7301615056,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,25.85,True,43,Public Works Department
82.6833,example1142@gmail.com,,"Faizabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1142,Simran Kaur,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Annoyance,2025-02-05,26,N/A,1142,Public Transport,Inconvenience for daily commuters,272302,Closed,Nagar Bazar,,2025-02-05,बसों का आना-जाना बहुत ही अस्थिर है। कई बार घंटों इंतजार करने के बाद भी बसें नहीं आती।,8110949800,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,26.6333,False,76,Transport Department
78.7478,example1143@gmail.com,,"Muzaffarnagar, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1143,Vikram Choudhary,Healthcare,Increased medical expenses,None,Helplessness,2025-02-05,24,N/A,1143,Health Services,Poor health outcomes,201304,Closed,Maharishi Nagar,,2025-02-05,सरकारी अस्पतालों में डॉक्टरों की कमी और खराब सुविधाएं हैं। इलाज में बहुत देरी होती है।,6126509544,2025-02-05 01:41:04,UP Health Services Act 2015,Public Health,High,N/A,27.2384,True,89,Health Department
81.5,example1144@gmail.com,,"Moradabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1144,Pooja Sharma,Law Enforcement,Loss of business due to crime,None,Anger,2025-02-05,22,N/A,1144,Police & Law,Increased fear and insecurity among residents,271865,In Progress,Nanpara,,2025-02-05,पुलिस के पास कोई भी समस्या हल करने का समय नहीं है। अपराध बढ़ रहे हैं और पुलिस की कोई कार्यवाही नहीं हो रही।,9267918940,2025-02-05 01:41:04,UP Police Act 2018,Crime Control,High,N/A,27.8667,True,17,Police Department
81.5333,example1145@gmail.com,,"Noida, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1145,Amit Verma,Education,Increased private tuition costs,None,Concern,2025-02-05,30,N/A,1145,Education,Poor educational outcomes,275201,Open,Bahadurganj,,2025-02-05,"स्कूलों में शिक्षक की कमी है और जो शिक्षक हैं, उनका ध्यान बच्चों की पढ़ाई पर नहीं होता।",8692277501,2025-02-05 01:41:04,UP Education Act 2014,School Curriculum,High,N/A,26.4,False,66,Education Department
80.3083,example1146@gmail.com,,"Aligarh, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1146,Rohit Gupta,Utilities,Additional water procurement costs,Water wastage and contamination,Frustration,2025-02-05,28,N/A,1146,Water Supply,Disruption of daily life and hygiene,208001,In Progress,Filkhana,,2025-02-05,पानी की सप्लाई कभी समय पर नहीं आती। बार-बार टैंकर भेजने के बाद भी स्थिति में कोई सुधार नहीं हुआ।,6735866796,2025-02-05 01:41:04,UP Water Supply Act 2019,Water Distribution,High,N/A,26.475,True,73,Water Supply Department
78.6778,example1147@gmail.com,,"Faizabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1147,Neha Singh,Utilities,Increased electricity costs,Increased generator usage causing pollution,Exhaustion,2025-02-05,25,N/A,1147,Electricity,Disruption of daily activities,244925,Closed,Tanda (Rampur),,2025-02-05,बिजली की समस्या अब तक हल नहीं हो पाई है। दिन में कई बार बिजली चली जाती है और फिर घंटों तक नहीं आती।,9523559969,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,29.0889,False,19,Electricity Department
79.7833,example1148@gmail.com,,"Moradabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1148,Ravi Verma,Sanitation,Increased healthcare costs,Pollution and pest infestation,Disgust,2025-02-05,28,N/A,1148,Garbage,Health hazards and unhygienic conditions,275207,Closed,Jalalabad,,2025-02-05,कूड़े के ढेर सड़कों पर पड़े रहते हैं। सफाई व्यवस्था को बेहतर करने की आवश्यकता है।,6815417454,2025-02-05 01:41:04,UP Sanitation Act 2018,Garbage Collection,High,N/A,27.1167,False,44,Sanitation Department
78.2667,example1149@gmail.com,,"Lucknow, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1149,Sunil Sharma,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Irritation,2025-02-05,28,N/A,1149,Roads,Increased accidents and injuries,246725,Closed,Chandpur R S,,2025-02-05,"सड़कों पर गड्ढे भरे नहीं जाते। बारिश के बाद तो यह और बढ़ जाते हैं, जिससे वाहन चालक परेशान हो जाते हैं।",9546295571,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,29.15,True,75,Public Works Department
78.2611,example1150@gmail.com,,"Bareilly, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1150,Ramesh Tiwari,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Annoyance,2025-02-05,20,N/A,1150,Public Transport,Inconvenience for daily commuters,202136,Closed,Gabhana,,2025-02-05,बसें हमेशा देर से आती हैं और बहुत भीड़ रहती है। यात्री असहज महसूस करते हैं।,8489110432,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,27.9611,False,88,Transport Department
80.5241,example1151@gmail.com,,"Jhansi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1151,Anita Singh,Healthcare,Increased medical expenses,None,Helplessness,2025-02-05,13,N/A,1151,Health Services,Poor health outcomes,210507,Open,Ragaul,,2025-02-05,सरकारी अस्पतालों में दवाइयों की कमी और डॉक्टरों की अनुपस्थिति से मरीजों को कड़ी परेशानी होती है।,7488718106,2025-02-05 01:41:04,UP Health Services Act 2015,Public Health,High,N/A,25.4611,True,58,Health Department
83.1794,example1152@gmail.com,,"Ghaziabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1152,Rohit Sharma,Law Enforcement,Loss of business due to crime,None,Anger,2025-02-05,20,N/A,1152,Police & Law,Increased fear and insecurity among residents,221104,Open,Chaubeypur (Varanasi),,2025-02-05,पुलिस कभी भी सही समय पर कार्यवाही नहीं करती। अपराधियों के खिलाफ कोई सख्त कदम नहीं उठाए जाते।,7422522285,2025-02-05 01:41:04,UP Police Act 2018,Crime Control,High,N/A,25.6475,False,59,Police Department
77.3806,example1153@gmail.com,,"Agra, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1153,Priya Verma,Education,Increased private tuition costs,None,Concern,2025-02-05,15,N/A,1153,Education,Poor educational outcomes,247668,Closed,Iqbalpur,,2025-02-05,स्कूलों में बच्चों के लिए किसी भी प्रकार के अतिरिक्त पाठ्यक्रम की कोई व्यवस्था नहीं है।,8995270841,2025-02-05 01:41:04,UP Education Act 2014,School Curriculum,High,N/A,29.7192,True,88,Education Department
82.85,example1154@gmail.com,,"Gorakhpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1154,Amit Kumar,Utilities,Additional water procurement costs,Water wastage and contamination,Frustration,2025-02-05,30,N/A,1154,Water Supply,Disruption of daily life and hygiene,224211,In Progress,Janaura,,2025-02-05,पानी की सप्लाई में बहुत ही गंदगी आती है। कभी कभी तो पूरी कॉलोनी को पानी नहीं मिलता।,6277506544,2025-02-05 01:41:04,UP Water Supply Act 2019,Water Distribution,High,N/A,26.3667,True,67,Water Supply Department
83.5667,example1155@gmail.com,,"Saharanpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1155,Ravi Sharma,Utilities,Increased electricity costs,Increased generator usage causing pollution,Exhaustion,2025-02-05,2,N/A,1155,Electricity,Disruption of daily activities,232329,Open,Zamania,,2025-02-05,गर्मी के मौसम में बिजली की बहुत ज्यादा कटौती हो रही है। यह समस्या दिन-प्रतिदिन बढ़ती जा रही है।,8527764806,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,25.4333,False,34,Electricity Department
79.1233,example1156@gmail.com,,"Mathura, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1156,Neha Joshi,Sanitation,Increased healthcare costs,Pollution and pest infestation,Disgust,2025-02-05,13,N/A,1156,Garbage,Health hazards and unhygienic conditions,243621,In Progress,Usawan,,2025-02-05,सफाई कर्मचारियों द्वारा कूड़े का समय पर उठाव नहीं किया जाता। यह पूरे इलाके में गंदगी फैलाता है।,6245804506,2025-02-05 01:41:04,UP Sanitation Act 2018,Garbage Collection,High,N/A,27.97,False,23,Sanitation Department
79.9467,example1157@gmail.com,,"Lucknow, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1157,Rajesh Kumar,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Anger,2025-02-05,1,N/A,1157,Roads,Increased accidents and injuries,209101,Closed,Akbarpur (Kanpur),,2025-02-05,सड़कें खस्ता हालत में हैं। गड्ढों के कारण वाहन चालकों को रोजाना खतरों का सामना करना पड़ता है।,6036189832,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,27.01,True,13,Public Works Department
81.7,example1158@gmail.com,,"Varanasi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1158,Anita Verma,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Frustration,2025-02-05,21,N/A,1158,Public Transport,Inconvenience for daily commuters,227808,Open,Hasanpur (Sultanpur),,2025-02-05,बसें समय पर नहीं आती और हमेशा बहुत भीड़ होती है।,7061890563,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,26.4833,False,72,Transport Department
83.1167,example1159@gmail.com,,"Meerut, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1159,Rohit Gupta,Healthcare,Increased medical expenses,None,Helplessness,2025-02-05,25,N/A,1159,Health Services,Poor health outcomes,272207,In Progress,Tehri Rani,,2025-02-05,सरकारी अस्पतालों में इलाज की सुविधाएं बहुत ही खराब हैं।,8899779161,2025-02-05 01:41:04,UP Health Services Act 2015,Public Health,High,N/A,27.2,True,87,Health Department
82.1167,example1160@gmail.com,,"Mathura, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1160,Sunil Sharma,Law Enforcement,Loss of business due to crime,None,Anger,2025-02-05,18,N/A,1160,Police & Law,Increased fear and insecurity among residents,230122,Open,Afim-Ki-Kothi,,2025-02-05,पुलिस कभी भी ठोस कार्रवाई नहीं करती। अपराधियों के खिलाफ कोई भी सख्त कदम नहीं उठाया जाता।,8170053376,2025-02-05 01:41:04,UP Police Act 2018,Crime Control,High,N/A,25.85,False,32,Police Department
80.3083,example1161@gmail.com,,"Jhansi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1161,Ramesh Tiwari,Education,Increased private tuition costs,None,Concern,2025-02-05,29,N/A,1161,Education,Poor educational outcomes,208003,In Progress,Chakeri Ad,,2025-02-05,"स्कूलों में बच्चों को केवल पढ़ाई नहीं, जीवन की अन्य महत्वपूर्ण बातें भी सिखानी चाहिए।",7454413861,2025-02-05 01:41:04,UP Education Act 2014,School Curriculum,High,N/A,26.475,False,21,Education Department
81.8583,example1162@gmail.com,,"Kanpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1162,Deepak Singh,Utilities,Additional water procurement costs,Water wastage and contamination,Frustration,2025-02-05,20,N/A,1162,Water Supply,Disruption of daily life and hygiene,211004,Open,Harijan Ashram,,2025-02-05,पानी की सप्लाई हर दिन अस्थिर रहती है। कभी भी पानी का दबाव कम होता है तो कभी पूरा दिन पानी नहीं आता।,7456989699,2025-02-05 01:41:04,UP Water Supply Act 2019,Water Distribution,High,N/A,25.425,False,3,Water Supply Department
77.5556,example1163@gmail.com,,"Agra, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1163,Sunita Verma,Utilities,Increased electricity costs,Increased generator usage causing pollution,Exhaustion,2025-02-05,25,N/A,1163,Electricity,Disruption of daily activities,250106,Open,Machhra,,2025-02-05,बिजली की कटौती से घर में बहुत दिक्कत हो रही है। खासकर रात के समय तो बिजली कभी भी नहीं आती।,6974698628,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,29.0611,False,95,Electricity Department
83.5,example1164@gmail.com,,"Aligarh, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1164,Amit Kumar,Sanitation,Increased healthcare costs,Pollution and pest infestation,Disgust,2025-02-05,22,N/A,1164,Garbage,Health hazards and unhygienic conditions,277506,In Progress,Sagarpali,,2025-02-05,कूड़े का ढेर हमेशा सड़कों पर पड़ा रहता है और सफाई कर्मचारियों का कोई ध्यान नहीं रहता।,6238236312,2025-02-05 01:41:04,UP Sanitation Act 2018,Garbage Collection,High,N/A,24.2833,True,27,Sanitation Department
83.1833,example1165@gmail.com,,"Noida, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1165,Ravi Sharma,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Anger,2025-02-05,26,N/A,1165,Roads,Increased accidents and injuries,276128,In Progress,Chandesar,,2025-02-05,"सड़कों में बड़े-बड़े गड्ढे हो गए हैं, जिससे गाड़ी चलाने में बहुत कठिनाई होती है।",8963980539,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,25.7667,True,74,Public Works Department
77.2992,example1166@gmail.com,,"Meerut, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1166,Neha Joshi,Transportation,Loss of productivity,Increased pollution due to private vehicle usage,Frustration,2025-02-05,13,N/A,1166,Public Transport,Inconvenience for daily commuters,203131,In Progress,G D Road,,2025-02-05,"बसें बहुत कम चलती हैं और जो चलती हैं, उनमें हमेशा भीड़ रहती है। यह यात्रियों के लिए परेशानी का कारण बनता है।",9486595750,2025-02-05 01:41:04,UP Public Transport Act 2018,Bus Services,Medium,N/A,29.5878,True,81,Transport Department
79.65,example1167@gmail.com,,"Varanasi, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1167,Rajesh Kumar,Healthcare,Increased medical expenses,None,Helplessness,2025-02-05,30,N/A,1167,Health Services,Poor health outcomes,209734,Closed,Thathia,,2025-02-05,सरकारी अस्पतालों में बहुत भीड़ रहती है और डॉक्टर भी जल्दी से मरीजों को नहीं देख पाते।,8031777539,2025-02-05 01:41:04,UP Health Services Act 2015,Public Health,High,N/A,27.05,False,98,Health Department
81.3,example1168@gmail.com,,"Moradabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1168,Suresh Yadav,Law Enforcement,Loss of business due to crime,None,Anger,2025-02-05,30,N/A,1168,Police & Law,Increased fear and insecurity among residents,262701,Closed,Lakhimpur Kheri,,2025-02-05,पुलिस अपराधियों के खिलाफ कोई सख्त कार्रवाई नहीं करती। अपराधी खुलेआम घूमते हैं और पुलिस का ध्यान नहीं जाता।,8136127662,2025-02-05 01:41:04,UP Police Act 2018,Crime Control,High,N/A,25.1333,False,25,Police Department
82.3833,example1169@gmail.com,,"Ghaziabad, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1169,Simran Kaur,Education,Increased private tuition costs,None,Concern,2025-02-05,26,N/A,1169,Education,Poor educational outcomes,228001,Closed,Loco Colony,,2025-02-05,स्कूलों में बच्चों को सही तरीके से पढ़ाई नहीं कराई जा रही। शिक्षक भी समय से नहीं आते।,7327322566,2025-02-05 01:41:04,UP Education Act 2014,School Curriculum,High,N/A,26.1667,False,82,Education Department
78.7478,example1170@gmail.com,,"Gorakhpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1170,Amit Kumar,Utilities,Additional water procurement costs,Water wastage and contamination,Frustration,2025-02-05,16,N/A,1170,Water Supply,Disruption of daily life and hygiene,204212,Open,Hasayan,,2025-02-05,पानी की सप्लाई कई बार पूरे दिन के लिए बंद हो जाती है और फिर गंदा पानी आता है।,9840343108,2025-02-05 01:41:04,UP Water Supply Act 2019,Water Distribution,High,N/A,27.2384,False,84,Water Supply Department
83.5,example1171@gmail.com,,"Bareilly, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1171,Ravi Sharma,Utilities,Increased electricity costs,Increased generator usage causing pollution,Exhaustion,2025-02-05,1,N/A,1171,Electricity,Disruption of daily activities,277215,Closed,Madhubeni,,2025-02-05,बिजली की लगातार कटौती से काम करना बहुत मुश्किल हो जाता है। गर्मियों में तो स्थिति और भी खराब हो जाती है।,8291348587,2025-02-05 01:41:04,UP Electricity Act 2017,Power Distribution,High,N/A,24.2833,True,96,Electricity Department
82.4525,example1172@gmail.com,,"Kanpur, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1172,Neha Joshi,Sanitation,Increased healthcare costs,Pollution and pest infestation,Disgust,2025-02-05,19,N/A,1172,Garbage,Health hazards and unhygienic conditions,233312,In Progress,Pahewa,,2025-02-05,कूड़े का ढेर सड़कों पर पड़ा रहता है और सफाई कर्मचारी इसे उठाने के लिए कोई प्रयास नहीं करते।,6508427435,2025-02-05 01:41:04,UP Sanitation Act 2018,Garbage Collection,High,N/A,25.5168,True,73,Sanitation Department
81.7729,example1173@gmail.com,,"Lucknow, Uttar Pradesh",2025-02-05 01:41:04,Sample Title 1173,Rajesh Kumar,Infrastructure,Vehicle repair costs,Air pollution due to traffic congestion,Irritation,2025-02-05,11,N/A,1173,Roads,Increased accidents and injuries,232120,In Progress,Sadalpura,,2025-02-05,सड़कों पर गड्ढे बहुत बढ़ गए हैं। यह गड्ढे दुर्घटनाओं का कारण बनते हैं।,6450933903,2025-02-05 01:41:04,UP Road Maintenance Act 2017,Road Maintenance,High,N/A,26.2962,False,58,Public Works Department
